productfamilies,clusters,silhouette_score,closest_cluster,distance_to_closest_cluster
A,1,0.27706405518887944,1,9.571224163576924
B,1,0.0640973341760471,1,3.799483460126575
C,1,-0.2239199330572954,1,5.137567943902895
D,1,0.17989769222897545,1,4.678823729259025
E,2,-0.11691794915744212,2,6.238499913091266
F,2,0.3132233300383314,2,6.23849991309127
G,0,0.524860068915301,0,3.4718576578285028
H,0,0.6684850119061183,0,2.3793722965108937
I,0,0.8498793897634507,0,1.033854368111208
J,1,0.11497787488646824,1,6.394996781844901
K,0,0.8228947418535376,0,0.7682903872015221
L,0,0.8514828992235244,0,1.128980466020108
M,0,0.6343869893797431,0,3.2644161385285115
N,0,0.8512837340420006,0,1.140839533601221
O,0,0.812719225745303,0,1.0670397212592637
P,0,0.8350408301722666,0,1.095557031457269
Q,0,0.8513345429624501,0,1.139481652036658
